Berenice Abbott,Alice Boughton,Leonora Carrington,Lily Cushing,Eugenie Gershoy,Minna R. Harkavy,Lotte Jacobi,Frida Kahlo,Kathe Kollwitz,Marie Laurencin,Loren MacIver,Chana Orloff,Concetta Scaravaglione,Elsa Schmid,Florine Stettheimer,Gertrude Vanderbilt Whitney,Marguerite Zorach,,,,,,,,
Genevieve Naylor,,,,,,,,,,,,,,,,,,,,,,,,
Audrey Buller,,,,,,,,,,,,,,,,,,,,,,,,
Helen Levitt,,,,,,,,,,,,,,,,,,,,,,,,
Olga Anhalzer-Fisch,Edith Behring,Norah Borges De Torre,Clara Carrie,Teresa Carvallo,Julia Codesido,Olga Costa,Nelida Demichelis,Raquel Forner,Frida Kahlo,Maria Martins,Maria Catalina Otero Lamas,Amelia Pelaez del Casal,Georgette Pinet,Aida Vaisman,,,,,,,,,,
Emma Lu Davis,Irene Rice Pereira,,,,,,,,,,,,,,,,,,,,,,,
Margaret Bourke-White,Helen Levitt,Lisette Model,Barbara Morgan,,,,,,,,,,,,,,,,,,,,,
Berenice Abbott,Julia Margaret Cameron,Louise Dahl-Wolfe,Lotte Jacobi,Dorothea Lange,Helen Levitt,Lisette Model,Barbara Morgan,Dorothy Norman,Rogi Andre (Rozsa Klein),,,,,,,,,,,,,,,
Loren MacIver,Georgia O'Keeffe,Elizabeth Sparhawk-Jones,Lilly Martin Spencer,Julia Thecla,,,,,,,,,,,,,,,,,,,,
Maud Morgan,,,,,,,,,,,,,,,,,,,,,,,,
Peggy Bacon,Mary Cassatt,Kathe Kollwitz,Georgia O'Keeffe,Irene Rice Pereira,Suzanne Valadon,,,,,,,,,,,,,,,,,,,
Amelia Pelaez del Casal,,,,,,,,,,,,,,,,,,,,,,,,
Mary Cassatt,Minna R. Harkavy,Kathe Kollwitz,Maria Martins,Georgia O'Keeffe,Irene Rice Pereira,Concetta Scaravaglione,Florine Stettheimer,,,,,,,,,,,,,,,,,
Aino Aalto,Berenice Abbott,Ray Eames,Eva Zeisel,,,,,,,,,,,,,,,,,,,,,
Irene Aronson,Alexandra Exter,Natalia Goncharova,Marie Laurencin,,,,,,,,,,,,,,,,,,,,,
Berenice Abbott,Julia Margaret Cameron,Imogen Cunningham,Dorothea Lange,Helen Levitt,Lisette Model,Barbara Morgan,,,,,,,,,,,,,,,,,,
Perle Fine,Sue Fuller,Barbara Olmsted,Helen Phillips,Anne Ryan,,,,,,,,,,,,,,,,,,,,
Virginia Admiral,Mary Callery,Dorothy Hood,Loren MacIver,Honore Sharrer,,,,,,,,,,,,,,,,,,,,
Fay Sturtevant Lincoln,,,,,,,,,,,,,,,,,,,,,,,,
Loren MacIver,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Morgan,,,,,,,,,,,,,,,,,,,,,,,,
Bella Chagall,,,,,,,,,,,,,,,,,,,,,,,,
Mary Callery,Minna R. Harkavy,Frida Kahlo,Loren MacIver,Maria Martins,Georgia O'Keeffe,Amelia Pelaez del Casal,Irene Rice Pereira,Honore Sharrer,Renee Sintenis,,,,,,,,,,,,,,,
Berenice Abbott,Dorothea Lange,Helen Levitt,Lisette Model,,,,,,,,,,,,,,,,,,,,,
