source,target,Type,Weight
June Wayne,Lee Bontecou,Undirected,1
Grace Hartigan,Lee Bontecou,Undirected,3
Nell Dorr,Lee Bontecou,Undirected,1
Jane Wilson,Lee Bontecou,Undirected,1
Helen Frankenthaler,Lee Bontecou,Undirected,7
Elizabeth McFadden,Lee Bontecou,Undirected,1
Kay Sage,Lee Bontecou,Undirected,1
Charmion von Wiegand,Lee Bontecou,Undirected,1
Laura Ziegler,Lee Bontecou,Undirected,1
Louise Nevelson,Lee Bontecou,Undirected,7
Jean Follett,Lee Bontecou,Undirected,1
Sarai Sherman,Lee Bontecou,Undirected,2
Ruth Velissaratos,Lee Bontecou,Undirected,1
Chryssa,Lee Bontecou,Undirected,4
Gego (Gertrud Goldschmidt),Lee Bontecou,Undirected,1
Suzanne Hausammann,Lee Bontecou,Undirected,1
Sheila Hicks,Lee Bontecou,Undirected,1
Hortense B. Isenberg,Lee Bontecou,Undirected,1
Monika Von Boch,Lee Bontecou,Undirected,1
"Heidi Weber, Zurich",Lee Bontecou,Undirected,1
Marian Warzecha,Lee Bontecou,Undirected,1
Sari Dienes,Lee Bontecou,Undirected,1
Suzanne Duchamp,Lee Bontecou,Undirected,1
Greta Knutson,Lee Bontecou,Undirected,1
Marisol (Marisol Escobar),Lee Bontecou,Undirected,6
Niki de Saint Phalle,Lee Bontecou,Undirected,2
Sally Hazelet Drummond,Lee Bontecou,Undirected,1
Elisabeth Frink,Lee Bontecou,Undirected,1
Alda Maria Armagni,Lee Bontecou,Undirected,1
Kirsten Kraa,Lee Bontecou,Undirected,1
Agnes Martin,Lee Bontecou,Undirected,2
Mary Bauermeister,Lee Bontecou,Undirected,5
Bridget Riley,Lee Bontecou,Undirected,1
Eva Hesse,Lee Bontecou,Undirected,1
Nancy Graves,Lee Bontecou,Undirected,1
Mary Frank,Lee Bontecou,Undirected,1
Charlotte Perriand,Sarai Sherman,Undirected,1
Lyubov Popova,Sarai Sherman,Undirected,1
Barbara Hepworth,Sarai Sherman,Undirected,2
Maria Martins,Sarai Sherman,Undirected,1
Louise Krueger,Sarai Sherman,Undirected,1
Germaine Richier,Sarai Sherman,Undirected,1
Ellen Lanyon,Sarai Sherman,Undirected,1
Nell Dorr,Sarai Sherman,Undirected,1
Jane Wilson,Sarai Sherman,Undirected,1
Helen Frankenthaler,Sarai Sherman,Undirected,1
Laura Ziegler,Sarai Sherman,Undirected,2
Louise Nevelson,Sarai Sherman,Undirected,1
Lee Bontecou,Sarai Sherman,Undirected,2
Ruth Velissaratos,Sarai Sherman,Undirected,1
Chryssa,Sarai Sherman,Undirected,1
Gego (Gertrud Goldschmidt),Sarai Sherman,Undirected,1
Suzanne Hausammann,Sarai Sherman,Undirected,1
Sheila Hicks,Sarai Sherman,Undirected,1
Hortense B. Isenberg,Sarai Sherman,Undirected,1
Monika Von Boch,Sarai Sherman,Undirected,1
"Heidi Weber, Zurich",Sarai Sherman,Undirected,1
Elaine de Kooning,Sarai Sherman,Undirected,1
Jan Stussy,Sarai Sherman,Undirected,1
Joyce Treiman,Sarai Sherman,Undirected,1
June Leaf,Sarai Sherman,Undirected,1
Paula Modersohn-Becker,Margaret Macdonald,Undirected,1
Sonia Delaunay-Terk,Margaret Macdonald,Undirected,1
Marisol (Marisol Escobar),Margaret Macdonald,Undirected,1
Tomoko Miho,Margaret Macdonald,Undirected,1
Imogen Cunningham,Inge Morath,Undirected,1
Lotte Jacobi,Inge Morath,Undirected,1
Claudia Andujar,Inge Morath,Undirected,1
Ruth Velissaratos,Inge Morath,Undirected,1
Charlotte Perriand,Ruth Velissaratos,Undirected,1
Lyubov Popova,Ruth Velissaratos,Undirected,1
Barbara Hepworth,Ruth Velissaratos,Undirected,1
Imogen Cunningham,Ruth Velissaratos,Undirected,1
Maria Martins,Ruth Velissaratos,Undirected,1
Lotte Jacobi,Ruth Velissaratos,Undirected,1
Germaine Richier,Ruth Velissaratos,Undirected,1
Nell Dorr,Ruth Velissaratos,Undirected,1
Jane Wilson,Ruth Velissaratos,Undirected,1
Helen Frankenthaler,Ruth Velissaratos,Undirected,1
Claudia Andujar,Ruth Velissaratos,Undirected,1
Lee Bontecou,Ruth Velissaratos,Undirected,1
Sarai Sherman,Ruth Velissaratos,Undirected,1
Inge Morath,Ruth Velissaratos,Undirected,1
Chryssa,Ruth Velissaratos,Undirected,1
Gego (Gertrud Goldschmidt),Ruth Velissaratos,Undirected,1
Suzanne Hausammann,Ruth Velissaratos,Undirected,1
Sheila Hicks,Ruth Velissaratos,Undirected,1
Hortense B. Isenberg,Ruth Velissaratos,Undirected,1
Monika Von Boch,Ruth Velissaratos,Undirected,1
"Heidi Weber, Zurich",Ruth Velissaratos,Undirected,1
Charlotte Perriand,Chryssa,Undirected,1
Lyubov Popova,Chryssa,Undirected,1
Barbara Hepworth,Chryssa,Undirected,1
Maria Martins,Chryssa,Undirected,1
Louise Bourgeois,Chryssa,Undirected,1
Germaine Richier,Chryssa,Undirected,1
Nell Dorr,Chryssa,Undirected,1
Jane Wilson,Chryssa,Undirected,1
Helen Frankenthaler,Chryssa,Undirected,4
Louise Nevelson,Chryssa,Undirected,2
Lee Bontecou,Chryssa,Undirected,4
Sarai Sherman,Chryssa,Undirected,1
Ruth Velissaratos,Chryssa,Undirected,1
Gego (Gertrud Goldschmidt),Chryssa,Undirected,1
Suzanne Hausammann,Chryssa,Undirected,1
Sheila Hicks,Chryssa,Undirected,1
Hortense B. Isenberg,Chryssa,Undirected,1
Monika Von Boch,Chryssa,Undirected,1
"Heidi Weber, Zurich",Chryssa,Undirected,1
Marisol (Marisol Escobar),Chryssa,Undirected,3
Sally Hazelet Drummond,Chryssa,Undirected,1
Alda Maria Armagni,Chryssa,Undirected,1
Kirsten Kraa,Chryssa,Undirected,1
Agnes Martin,Chryssa,Undirected,3
Mary Bauermeister,Chryssa,Undirected,1
Bridget Riley,Chryssa,Undirected,1
Eva Hesse,Chryssa,Undirected,1
Dorothea Rockburne,Chryssa,Undirected,1
Pat Steir,Chryssa,Undirected,1
Rosemarie Castoro,Chryssa,Undirected,1
Joan Witek,Chryssa,Undirected,1
Charlotte Perriand,Gego (Gertrud Goldschmidt),Undirected,1
Lyubov Popova,Gego (Gertrud Goldschmidt),Undirected,1
Barbara Hepworth,Gego (Gertrud Goldschmidt),Undirected,1
Frida Kahlo,Gego (Gertrud Goldschmidt),Undirected,1
Maria Martins,Gego (Gertrud Goldschmidt),Undirected,2
Amelia Pelaez del Casal,Gego (Gertrud Goldschmidt),Undirected,1
Sue Fuller,Gego (Gertrud Goldschmidt),Undirected,1
Germaine Richier,Gego (Gertrud Goldschmidt),Undirected,1
Nell Dorr,Gego (Gertrud Goldschmidt),Undirected,1
Jane Wilson,Gego (Gertrud Goldschmidt),Undirected,1
Helen Frankenthaler,Gego (Gertrud Goldschmidt),Undirected,1
Louise Nevelson,Gego (Gertrud Goldschmidt),Undirected,1
Lee Bontecou,Gego (Gertrud Goldschmidt),Undirected,1
Sarai Sherman,Gego (Gertrud Goldschmidt),Undirected,1
Ruth Velissaratos,Gego (Gertrud Goldschmidt),Undirected,1
Chryssa,Gego (Gertrud Goldschmidt),Undirected,1
Suzanne Hausammann,Gego (Gertrud Goldschmidt),Undirected,1
Sheila Hicks,Gego (Gertrud Goldschmidt),Undirected,1
Hortense B. Isenberg,Gego (Gertrud Goldschmidt),Undirected,1
Monika Von Boch,Gego (Gertrud Goldschmidt),Undirected,1
"Heidi Weber, Zurich",Gego (Gertrud Goldschmidt),Undirected,1
Noemi Gerstein,Gego (Gertrud Goldschmidt),Undirected,1
Agnes Martin,Gego (Gertrud Goldschmidt),Undirected,1
Eleanore Mikus,Gego (Gertrud Goldschmidt),Undirected,1
Nancy Graves,Gego (Gertrud Goldschmidt),Undirected,1
Liliana Porter,Gego (Gertrud Goldschmidt),Undirected,1
Ethelyn Honig,Gego (Gertrud Goldschmidt),Undirected,1
Charlotte Perriand,Suzanne Hausammann,Undirected,1
Lyubov Popova,Suzanne Hausammann,Undirected,1
Barbara Hepworth,Suzanne Hausammann,Undirected,1
Maria Martins,Suzanne Hausammann,Undirected,1
Germaine Richier,Suzanne Hausammann,Undirected,1
Nell Dorr,Suzanne Hausammann,Undirected,1
Jane Wilson,Suzanne Hausammann,Undirected,1
Helen Frankenthaler,Suzanne Hausammann,Undirected,1
Lee Bontecou,Suzanne Hausammann,Undirected,1
Sarai Sherman,Suzanne Hausammann,Undirected,1
Ruth Velissaratos,Suzanne Hausammann,Undirected,1
Chryssa,Suzanne Hausammann,Undirected,1
Gego (Gertrud Goldschmidt),Suzanne Hausammann,Undirected,1
Sheila Hicks,Suzanne Hausammann,Undirected,1
Hortense B. Isenberg,Suzanne Hausammann,Undirected,1
Monika Von Boch,Suzanne Hausammann,Undirected,1
"Heidi Weber, Zurich",Suzanne Hausammann,Undirected,1
Charlotte Perriand,Sheila Hicks,Undirected,1
Lyubov Popova,Sheila Hicks,Undirected,1
Barbara Hepworth,Sheila Hicks,Undirected,1
Anni Albers,Sheila Hicks,Undirected,1
Gunta Stolzl,Sheila Hicks,Undirected,1
Maria Martins,Sheila Hicks,Undirected,1
Gertrud Natzler,Sheila Hicks,Undirected,1
Germaine Richier,Sheila Hicks,Undirected,1
Nell Dorr,Sheila Hicks,Undirected,1
Jane Wilson,Sheila Hicks,Undirected,1
Thelma Becherer,Sheila Hicks,Undirected,1
Gretl Wollner,Sheila Hicks,Undirected,1
Helen Frankenthaler,Sheila Hicks,Undirected,1
Lee Bontecou,Sheila Hicks,Undirected,1
Sarai Sherman,Sheila Hicks,Undirected,1
Ruth Velissaratos,Sheila Hicks,Undirected,1
Chryssa,Sheila Hicks,Undirected,1
Gego (Gertrud Goldschmidt),Sheila Hicks,Undirected,1
Suzanne Hausammann,Sheila Hicks,Undirected,1
Hortense B. Isenberg,Sheila Hicks,Undirected,1
Monika Von Boch,Sheila Hicks,Undirected,1
"Heidi Weber, Zurich",Sheila Hicks,Undirected,1
Niki de Saint Phalle,Sheila Hicks,Undirected,1
Elaine Lustig Cohen,Sheila Hicks,Undirected,1
Antonia Campi,Sheila Hicks,Undirected,1
Afra Scarpa,Sheila Hicks,Undirected,1
Lynn Sexton,Sheila Hicks,Undirected,1
Britt-Louise Sundell,Sheila Hicks,Undirected,1
Magdalena Abakanowicz,Sheila Hicks,Undirected,1
Delores Dembus Bittleman,Sheila Hicks,Undirected,1
Olga De Amaral,Sheila Hicks,Undirected,1
Mary Walker Phillips,Sheila Hicks,Undirected,1
Moik Schiele,Sheila Hicks,Undirected,1
Lenore Tawney,Sheila Hicks,Undirected,1
Susan Weitzman,Sheila Hicks,Undirected,1
Charlotte Perriand,Hortense B. Isenberg,Undirected,1
Lyubov Popova,Hortense B. Isenberg,Undirected,1
Barbara Hepworth,Hortense B. Isenberg,Undirected,1
Maria Martins,Hortense B. Isenberg,Undirected,1
Germaine Richier,Hortense B. Isenberg,Undirected,1
Nell Dorr,Hortense B. Isenberg,Undirected,1
Jane Wilson,Hortense B. Isenberg,Undirected,1
Helen Frankenthaler,Hortense B. Isenberg,Undirected,1
Lee Bontecou,Hortense B. Isenberg,Undirected,1
Sarai Sherman,Hortense B. Isenberg,Undirected,1
Ruth Velissaratos,Hortense B. Isenberg,Undirected,1
Chryssa,Hortense B. Isenberg,Undirected,1
Gego (Gertrud Goldschmidt),Hortense B. Isenberg,Undirected,1
Suzanne Hausammann,Hortense B. Isenberg,Undirected,1
Sheila Hicks,Hortense B. Isenberg,Undirected,1
Monika Von Boch,Hortense B. Isenberg,Undirected,1
"Heidi Weber, Zurich",Hortense B. Isenberg,Undirected,1
Charlotte Perriand,Monika Von Boch,Undirected,1
Lyubov Popova,Monika Von Boch,Undirected,1
Barbara Hepworth,Monika Von Boch,Undirected,1
Maria Martins,Monika Von Boch,Undirected,1
Germaine Richier,Monika Von Boch,Undirected,1
Nell Dorr,Monika Von Boch,Undirected,1
Jane Wilson,Monika Von Boch,Undirected,1
Helen Frankenthaler,Monika Von Boch,Undirected,1
Lee Bontecou,Monika Von Boch,Undirected,1
Sarai Sherman,Monika Von Boch,Undirected,1
Ruth Velissaratos,Monika Von Boch,Undirected,1
Chryssa,Monika Von Boch,Undirected,1
Gego (Gertrud Goldschmidt),Monika Von Boch,Undirected,1
Suzanne Hausammann,Monika Von Boch,Undirected,1
Sheila Hicks,Monika Von Boch,Undirected,1
Hortense B. Isenberg,Monika Von Boch,Undirected,1
"Heidi Weber, Zurich",Monika Von Boch,Undirected,1
Charlotte Perriand,"Heidi Weber, Zurich",Undirected,1
Lyubov Popova,"Heidi Weber, Zurich",Undirected,1
Barbara Hepworth,"Heidi Weber, Zurich",Undirected,1
Maria Martins,"Heidi Weber, Zurich",Undirected,1
Germaine Richier,"Heidi Weber, Zurich",Undirected,1
Nell Dorr,"Heidi Weber, Zurich",Undirected,1
Jane Wilson,"Heidi Weber, Zurich",Undirected,1
Helen Frankenthaler,"Heidi Weber, Zurich",Undirected,1
Lee Bontecou,"Heidi Weber, Zurich",Undirected,1
Sarai Sherman,"Heidi Weber, Zurich",Undirected,1
Ruth Velissaratos,"Heidi Weber, Zurich",Undirected,1
Chryssa,"Heidi Weber, Zurich",Undirected,1
Gego (Gertrud Goldschmidt),"Heidi Weber, Zurich",Undirected,1
Suzanne Hausammann,"Heidi Weber, Zurich",Undirected,1
Sheila Hicks,"Heidi Weber, Zurich",Undirected,1
Hortense B. Isenberg,"Heidi Weber, Zurich",Undirected,1
Monika Von Boch,"Heidi Weber, Zurich",Undirected,1
Hannah Hoch,Marian Warzecha,Undirected,2
Meret Oppenheim,Marian Warzecha,Undirected,1
Perle Fine,Marian Warzecha,Undirected,1
Anne Ryan,Marian Warzecha,Undirected,1
Camille Bryen,Marian Warzecha,Undirected,1
Elizabeth McFadden,Marian Warzecha,Undirected,1
Kay Sage,Marian Warzecha,Undirected,1
Charmion von Wiegand,Marian Warzecha,Undirected,1
Louise Nevelson,Marian Warzecha,Undirected,1
Jean Follett,Marian Warzecha,Undirected,1
Lee Bontecou,Marian Warzecha,Undirected,1
Sari Dienes,Marian Warzecha,Undirected,1
Suzanne Duchamp,Marian Warzecha,Undirected,1
Greta Knutson,Marian Warzecha,Undirected,1
Marisol (Marisol Escobar),Marian Warzecha,Undirected,1
Niki de Saint Phalle,Marian Warzecha,Undirected,1
Mary Bauermeister,Marian Warzecha,Undirected,1
Hannah Hoch,Sari Dienes,Undirected,1
Meret Oppenheim,Sari Dienes,Undirected,1
Perle Fine,Sari Dienes,Undirected,1
Anne Ryan,Sari Dienes,Undirected,1
Camille Bryen,Sari Dienes,Undirected,1
Elizabeth McFadden,Sari Dienes,Undirected,1
Kay Sage,Sari Dienes,Undirected,1
Charmion von Wiegand,Sari Dienes,Undirected,1
Louise Nevelson,Sari Dienes,Undirected,1
Jean Follett,Sari Dienes,Undirected,1
Lee Bontecou,Sari Dienes,Undirected,1
Marian Warzecha,Sari Dienes,Undirected,1
Suzanne Duchamp,Sari Dienes,Undirected,1
Greta Knutson,Sari Dienes,Undirected,1
Marisol (Marisol Escobar),Sari Dienes,Undirected,1
Niki de Saint Phalle,Sari Dienes,Undirected,1
Hannah Hoch,Suzanne Duchamp,Undirected,1
Meret Oppenheim,Suzanne Duchamp,Undirected,1
Perle Fine,Suzanne Duchamp,Undirected,1
Anne Ryan,Suzanne Duchamp,Undirected,1
Camille Bryen,Suzanne Duchamp,Undirected,1
Elizabeth McFadden,Suzanne Duchamp,Undirected,1
Kay Sage,Suzanne Duchamp,Undirected,1
Charmion von Wiegand,Suzanne Duchamp,Undirected,1
Louise Nevelson,Suzanne Duchamp,Undirected,1
Jean Follett,Suzanne Duchamp,Undirected,1
Lee Bontecou,Suzanne Duchamp,Undirected,1
Marian Warzecha,Suzanne Duchamp,Undirected,1
Sari Dienes,Suzanne Duchamp,Undirected,1
Greta Knutson,Suzanne Duchamp,Undirected,1
Marisol (Marisol Escobar),Suzanne Duchamp,Undirected,1
Niki de Saint Phalle,Suzanne Duchamp,Undirected,1
Hannah Hoch,Greta Knutson,Undirected,1
Meret Oppenheim,Greta Knutson,Undirected,1
Perle Fine,Greta Knutson,Undirected,1
Anne Ryan,Greta Knutson,Undirected,1
Camille Bryen,Greta Knutson,Undirected,1
Elizabeth McFadden,Greta Knutson,Undirected,1
Kay Sage,Greta Knutson,Undirected,1
Charmion von Wiegand,Greta Knutson,Undirected,1
Louise Nevelson,Greta Knutson,Undirected,1
Jean Follett,Greta Knutson,Undirected,1
Lee Bontecou,Greta Knutson,Undirected,1
Marian Warzecha,Greta Knutson,Undirected,1
Sari Dienes,Greta Knutson,Undirected,1
Suzanne Duchamp,Greta Knutson,Undirected,1
Marisol (Marisol Escobar),Greta Knutson,Undirected,1
Niki de Saint Phalle,Greta Knutson,Undirected,1
Berenice Abbott,Marisol (Marisol Escobar),Undirected,1
Kathe Kollwitz,Marisol (Marisol Escobar),Undirected,1
Florine Stettheimer,Marisol (Marisol Escobar),Undirected,1
Hannah Hoch,Marisol (Marisol Escobar),Undirected,1
Meret Oppenheim,Marisol (Marisol Escobar),Undirected,1
Barbara Hepworth,Marisol (Marisol Escobar),Undirected,1
Margaret Bourke-White,Marisol (Marisol Escobar),Undirected,1
Imogen Cunningham,Marisol (Marisol Escobar),Undirected,1
Claire (Claire Mahl) Moore,Marisol (Marisol Escobar),Undirected,1
Minna R. Harkavy,Marisol (Marisol Escobar),Undirected,2
Dorothea Lange,Marisol (Marisol Escobar),Undirected,1
Lotte Jacobi,Marisol (Marisol Escobar),Undirected,1
Perle Fine,Marisol (Marisol Escobar),Undirected,1
Anne Ryan,Marisol (Marisol Escobar),Undirected,1
Louise Bourgeois,Marisol (Marisol Escobar),Undirected,3
Tina Modotti,Marisol (Marisol Escobar),Undirected,1
Camille Bryen,Marisol (Marisol Escobar),Undirected,2
Diane Arbus,Marisol (Marisol Escobar),Undirected,1
Grace Hartigan,Marisol (Marisol Escobar),Undirected,2
Jane Wilson,Marisol (Marisol Escobar),Undirected,1
Sonia Delaunay-Terk,Marisol (Marisol Escobar),Undirected,1
Nell Blaine,Marisol (Marisol Escobar),Undirected,1
Jane Freilicher,Marisol (Marisol Escobar),Undirected,2
Helen Frankenthaler,Marisol (Marisol Escobar),Undirected,5
Elizabeth McFadden,Marisol (Marisol Escobar),Undirected,1
Kay Sage,Marisol (Marisol Escobar),Undirected,1
Charmion von Wiegand,Marisol (Marisol Escobar),Undirected,1
Miriam Schapiro,Marisol (Marisol Escobar),Undirected,1
Louise Nevelson,Marisol (Marisol Escobar),Undirected,5
Jean Follett,Marisol (Marisol Escobar),Undirected,2
Lee Bontecou,Marisol (Marisol Escobar),Undirected,6
Margaret Macdonald,Marisol (Marisol Escobar),Undirected,1
Chryssa,Marisol (Marisol Escobar),Undirected,3
Marian Warzecha,Marisol (Marisol Escobar),Undirected,1
Sari Dienes,Marisol (Marisol Escobar),Undirected,1
Suzanne Duchamp,Marisol (Marisol Escobar),Undirected,1
Greta Knutson,Marisol (Marisol Escobar),Undirected,1
Niki de Saint Phalle,Marisol (Marisol Escobar),Undirected,3
Elaine de Kooning,Marisol (Marisol Escobar),Undirected,1
Joan Mitchell,Marisol (Marisol Escobar),Undirected,1
Sally Hazelet Drummond,Marisol (Marisol Escobar),Undirected,2
Kirsten Kraa,Marisol (Marisol Escobar),Undirected,1
Agnes Martin,Marisol (Marisol Escobar),Undirected,2
Mary Bauermeister,Marisol (Marisol Escobar),Undirected,3
Bridget Riley,Marisol (Marisol Escobar),Undirected,1
Lee Krasner,Marisol (Marisol Escobar),Undirected,1
Tomoko Miho,Marisol (Marisol Escobar),Undirected,1
Bea Nettles,Marisol (Marisol Escobar),Undirected,1
Adrian Piper,Marisol (Marisol Escobar),Undirected,1
Dorothea Rockburne,Marisol (Marisol Escobar),Undirected,1
Judy Dater,Marisol (Marisol Escobar),Undirected,1
Nancy Graves,Marisol (Marisol Escobar),Undirected,1
Pat Steir,Marisol (Marisol Escobar),Undirected,1
Edda Renouf,Marisol (Marisol Escobar),Undirected,1
Mary Frank,Marisol (Marisol Escobar),Undirected,2
Janet Fish,Marisol (Marisol Escobar),Undirected,1
Valerie Jaudon,Marisol (Marisol Escobar),Undirected,1
Audrey Flack,Marisol (Marisol Escobar),Undirected,1
Susan Kaprov,Marisol (Marisol Escobar),Undirected,1
Bea Maddock,Marisol (Marisol Escobar),Undirected,1
Sylvia Plimack Mangold,Marisol (Marisol Escobar),Undirected,1
Laurie Anderson,Marisol (Marisol Escobar),Undirected,2
Rosemarie Castoro,Marisol (Marisol Escobar),Undirected,1
Margia Kramer,Marisol (Marisol Escobar),Undirected,1
Martha Rosler,Marisol (Marisol Escobar),Undirected,1
Jane Dickson,Marisol (Marisol Escobar),Undirected,1
Ida Applebroog,Marisol (Marisol Escobar),Undirected,1
Nancy Spero,Marisol (Marisol Escobar),Undirected,2
Barbara Kruger,Marisol (Marisol Escobar),Undirected,1
Emma Amos,Marisol (Marisol Escobar),Undirected,1
Elizabeth Catlett,Marisol (Marisol Escobar),Undirected,1
Judy Chicago,Marisol (Marisol Escobar),Undirected,1
Eva Cockcroft,Marisol (Marisol Escobar),Undirected,1
Sue Coe,Marisol (Marisol Escobar),Undirected,1
Mary Beth Edelson,Marisol (Marisol Escobar),Undirected,1
Jenny Holzer,Marisol (Marisol Escobar),Undirected,1
Rebecca Howland,Marisol (Marisol Escobar),Undirected,1
Yong Soon Min,Marisol (Marisol Escobar),Undirected,1
Faith Ringgold,Marisol (Marisol Escobar),Undirected,1
Mimi Smith,Marisol (Marisol Escobar),Undirected,1
May Stevens,Marisol (Marisol Escobar),Undirected,1
Hannah Hoch,Niki de Saint Phalle,Undirected,2
Meret Oppenheim,Niki de Saint Phalle,Undirected,2
Sophie Taeuber-Arp,Niki de Saint Phalle,Undirected,1
Barbara Hepworth,Niki de Saint Phalle,Undirected,1
Perle Fine,Niki de Saint Phalle,Undirected,1
Anne Ryan,Niki de Saint Phalle,Undirected,1
Louise Bourgeois,Niki de Saint Phalle,Undirected,1
Camille Bryen,Niki de Saint Phalle,Undirected,1
Grace Hartigan,Niki de Saint Phalle,Undirected,1
Jane Wilson,Niki de Saint Phalle,Undirected,1
Nell Blaine,Niki de Saint Phalle,Undirected,1
Jane Freilicher,Niki de Saint Phalle,Undirected,1
Gretl Wollner,Niki de Saint Phalle,Undirected,1
Helen Frankenthaler,Niki de Saint Phalle,Undirected,1
Elizabeth McFadden,Niki de Saint Phalle,Undirected,1
Kay Sage,Niki de Saint Phalle,Undirected,1
Charmion von Wiegand,Niki de Saint Phalle,Undirected,1
Louise Nevelson,Niki de Saint Phalle,Undirected,2
Jean Follett,Niki de Saint Phalle,Undirected,1
Lee Bontecou,Niki de Saint Phalle,Undirected,2
Sheila Hicks,Niki de Saint Phalle,Undirected,1
Marian Warzecha,Niki de Saint Phalle,Undirected,1
Sari Dienes,Niki de Saint Phalle,Undirected,1
Suzanne Duchamp,Niki de Saint Phalle,Undirected,1
Greta Knutson,Niki de Saint Phalle,Undirected,1
Marisol (Marisol Escobar),Niki de Saint Phalle,Undirected,3
Elaine de Kooning,Niki de Saint Phalle,Undirected,1
Joan Mitchell,Niki de Saint Phalle,Undirected,1
Elaine Lustig Cohen,Niki de Saint Phalle,Undirected,1
Lee Krasner,Niki de Saint Phalle,Undirected,1
Nancy Graves,Niki de Saint Phalle,Undirected,1
Mary Frank,Niki de Saint Phalle,Undirected,1
Grace Hartigan,Eugenie Baizerman,Undirected,1
Charmion von Wiegand,Eugenie Baizerman,Undirected,1
Colette Bangert,Eugenie Baizerman,Undirected,1
Pamela Bianco,Eugenie Baizerman,Undirected,1
Joan Brown,Eugenie Baizerman,Undirected,1
Elaine de Kooning,Eugenie Baizerman,Undirected,1
Noemi Gerstein,Eugenie Baizerman,Undirected,1
Joan Mitchell,Eugenie Baizerman,Undirected,1
Deborah de Moulpied,Eugenie Baizerman,Undirected,1
Nina Tryggvadottir,Eugenie Baizerman,Undirected,1
Grace Hartigan,Colette Bangert,Undirected,1
Charmion von Wiegand,Colette Bangert,Undirected,1
Eugenie Baizerman,Colette Bangert,Undirected,1
Pamela Bianco,Colette Bangert,Undirected,1
Joan Brown,Colette Bangert,Undirected,1
Elaine de Kooning,Colette Bangert,Undirected,1
Noemi Gerstein,Colette Bangert,Undirected,1
Joan Mitchell,Colette Bangert,Undirected,1
Deborah de Moulpied,Colette Bangert,Undirected,1
Nina Tryggvadottir,Colette Bangert,Undirected,1
Grace Hartigan,Pamela Bianco,Undirected,1
Charmion von Wiegand,Pamela Bianco,Undirected,1
Eugenie Baizerman,Pamela Bianco,Undirected,1
Colette Bangert,Pamela Bianco,Undirected,1
Joan Brown,Pamela Bianco,Undirected,1
Elaine de Kooning,Pamela Bianco,Undirected,1
Noemi Gerstein,Pamela Bianco,Undirected,1
Joan Mitchell,Pamela Bianco,Undirected,1
Deborah de Moulpied,Pamela Bianco,Undirected,1
Nina Tryggvadottir,Pamela Bianco,Undirected,1
Grace Hartigan,Joan Brown,Undirected,1
Charmion von Wiegand,Joan Brown,Undirected,1
Eugenie Baizerman,Joan Brown,Undirected,1
Colette Bangert,Joan Brown,Undirected,1
Pamela Bianco,Joan Brown,Undirected,1
Elaine de Kooning,Joan Brown,Undirected,1
Noemi Gerstein,Joan Brown,Undirected,1
Joan Mitchell,Joan Brown,Undirected,1
Deborah de Moulpied,Joan Brown,Undirected,1
Nina Tryggvadottir,Joan Brown,Undirected,1
Ellen Lanyon,Elaine de Kooning,Undirected,1
Grace Hartigan,Elaine de Kooning,Undirected,2
Jane Wilson,Elaine de Kooning,Undirected,1
Nell Blaine,Elaine de Kooning,Undirected,1
Jane Freilicher,Elaine de Kooning,Undirected,1
Helen Frankenthaler,Elaine de Kooning,Undirected,2
Charmion von Wiegand,Elaine de Kooning,Undirected,1
Sarai Sherman,Elaine de Kooning,Undirected,1
Marisol (Marisol Escobar),Elaine de Kooning,Undirected,1
Niki de Saint Phalle,Elaine de Kooning,Undirected,1
Eugenie Baizerman,Elaine de Kooning,Undirected,1
Colette Bangert,Elaine de Kooning,Undirected,1
Pamela Bianco,Elaine de Kooning,Undirected,1
Joan Brown,Elaine de Kooning,Undirected,1
Noemi Gerstein,Elaine de Kooning,Undirected,1
Joan Mitchell,Elaine de Kooning,Undirected,2
Deborah de Moulpied,Elaine de Kooning,Undirected,1
Nina Tryggvadottir,Elaine de Kooning,Undirected,1
Jan Stussy,Elaine de Kooning,Undirected,1
Joyce Treiman,Elaine de Kooning,Undirected,1
Lee Krasner,Elaine de Kooning,Undirected,1
Yvonne Jacquette,Elaine de Kooning,Undirected,1
Pat Steir,Elaine de Kooning,Undirected,1
Joan Jonas,Elaine de Kooning,Undirected,1
Judy Pfaff,Elaine de Kooning,Undirected,1
Frida Kahlo,Noemi Gerstein,Undirected,1
Maria Martins,Noemi Gerstein,Undirected,1
Amelia Pelaez del Casal,Noemi Gerstein,Undirected,1
Grace Hartigan,Noemi Gerstein,Undirected,1
Charmion von Wiegand,Noemi Gerstein,Undirected,1
Gego (Gertrud Goldschmidt),Noemi Gerstein,Undirected,1
Eugenie Baizerman,Noemi Gerstein,Undirected,1
Colette Bangert,Noemi Gerstein,Undirected,1
Pamela Bianco,Noemi Gerstein,Undirected,1
Joan Brown,Noemi Gerstein,Undirected,1
Elaine de Kooning,Noemi Gerstein,Undirected,1
Joan Mitchell,Noemi Gerstein,Undirected,1
Deborah de Moulpied,Noemi Gerstein,Undirected,1
Nina Tryggvadottir,Noemi Gerstein,Undirected,1
Berenice Abbott,Joan Mitchell,Undirected,1
Hannah Hoch,Joan Mitchell,Undirected,1
Sophie Taeuber-Arp,Joan Mitchell,Undirected,1
Margaret Bourke-White,Joan Mitchell,Undirected,1
